,topic,set
0,This House believes in the Right to be forgotten,train
1,This house believes that internet access is a human right,train
2,This House would ban sexist advertising,train
3,Obama vs. Romney: Does campaign finance in the United States need to be fixed?,train
4,This house believes that Federal States are better than unitary nations,train
5,THW Require the Provision of Cannabis in Any State Funded Medical Program,train
6,This House believes that Google shouldn’t censor its search results in China,train
7,"This House believes Cape Verde’s regional future lies with Europe, not Africa",train
8,This House would boycott the Euro 2012 in Ukraine unless Yulia Timoshenko is released from prison,train
9,"THB universities everywhere should compete to attract the most qualified students, regardless of nat",train
10,This House Believes Socialism is Dead,train
11,This House believes that the United Nations has failed,train
12,This House Would Make Vaccination Compulsory,train
13,This House would limit the free speech rights of corporations that are granted legal personhood.,train
14,This house would further restrict smoking,train
15,This House would replace aid with remittances,train
16,This House would regulate the press,train
17,This House believes the imprisoned members of Pussy Riot should be considered political prisoners,train
18,This house believes that newspapers are a thing of the past,train
19,This House would restrict media reporting on violent crimes,train
20,This House believes that Israel should recognise the Palestinian right of return,train
21,This House Would Keep the Sabbath as a Day of Rest.,train
22,This House would stop sending development aid to India,train
23,"This House would, as Sao Tome, drop relations with Taiwan in favour of Mainland China",train
24,This House believes in Santa Claus (Junior),train
25,This House would allow pharmaceutical companies to advertise directly to consumers,train
26,This House would treat the desecration and destruction of high-value sites and property of cultural,train
27,Are Multiple Vaccines Safe?,train
28,This House believes Rupert Murdoch is not a fit person to run an international media corporation,train
29,This House would restrict the right to Habeas Corpus as part of efforts to combat terrorism,train
30,This House would introduce Eurobonds,train
31,This House believes EU member states should guarantee people under 25 a temporary workplace when the,train
32,This House believes that indiscriminate NSA surveillance of the rest of the world hurts the United S,train
33,This House Would Promote Safe Sex through Education at Schools,train
34,This House believes that parents should be held responsible for their school-going children's discip,train
35,This House would join Facebook.,train
36,THB that Danish newspapers should not have published cartoons depicting the Prophet Mohammed,train
37,This house believes Quebec should secede from Canada,train
38,This House believes Corporations’ Use of IP Laws in Relation to Event Sponsorship Poses a Threat to,train
39,This House would protect braille out of respect for free speech,train
40,This House believes that it is sometimes right for the government to restrict freedom of speech,train
41,This House would build the Hyperloop,train
42,This House believes that music that glorifies violence against women should be banned.,train
43,This House would return the Chagos Islands to Mauritius,train
44,This House would remove the requirement for Catholic Priests to take a vow of celibacy,train
45,This House would introduce Chess at the Olympics,train
46,This house believes self-determination of peoples is a human right,train
47,This House Supports Scottish Independence,train
48,This House Believes Terrorism can be justified,train
49,This House would legalise Prostitution,train
50,This House would ban the depiction of smoking in films,train
51,This House believes that the right to asylum should not be absolute,train
52,This House would cease the exploitation of the Arctic Region,train
53,This House would negotiate with terrorists,train
54,This House believes that Jerusalem should be divided,train
55,This House would encourage governments to implement an ‘open sky’ agreement within Africa,train
56,This House would subsidise poor communities,train
57,This House believes the Uhuru Kenyatta indictment was an unwelcome interference by the ICC,train
58,This House believes that the traditional university will be replaced by online learning,train
59,This House believes the UK would be better off economically outside the European Union,train
60,This House would ban beauty contests,train
61,This House believes German prosecutors should investigate NSA surveillance of Angela Merkel,train
62,"Universities should make all academic work they produce, including scholarly articles, course handbo",train
63,This House believes military action to intervene during atrocities without United Nations Security C,train
64,This House would ban religious symbols in public buildings,train
65,This House would ban homework,train
66,This house would prohibit retailers from selling certain items at a loss as a marketing device.,train
67,This House believes that male infant circumcision is tantamount to child abuse,train
68,This House would simplify the English Language,train
69,This House believes attorney-client privilege should be abolished,train
70,This House would detain terror suspects without trial,train
71,This House would create a single European Union army,train
72,This House believes the ICC is not an effective deterrent,train
73,This House believes that sexual orientation should be considered grounds for asylum.,train
74,This House believes Wikipedia is a force for good,train
75,This house would end national testing,train
76,"This House would intervene in Syria to prevent, or respond to, the use of chemical weapons",train
77,This House would use a graduated response to combat unauthorised file-sharing of copyrighted materia,train
78,This House would incentivise western companies to build software that provides anonymity to those in,train
79,This House would only teach abstinence for sex education in schools,train
80,This House would encourage the creation of private universities in the UK,train
81,This house believes that hosting the Olympics is a good investment,train
82,This House believes the government of Uganda has failed its citizens over LGBT rights,train
83,This House believes Ethiopia is right to build a dam on the River Nile,train
84,This House would intervene to prevent the collapse of the state in other countries.,train
85,This House would send Yanukovych to The Hague,train
86,This House would produce high quality generic drugs for Africa,train
87,This house supports home schooling,train
88,This House believes reality television does more harm than good,train
89,This House believes in fundamental human rights,train
90,This House Believes Instant Replay Should Be Used in Major League Baseball,train
91,This House would prohibit burning the stars and stripes,train
92,This house supports the creation of single-race public schools,train
93,This House would introduce compulsory identity cards,train
94,This House is dreaming of a white Christmas. (Junior),train
95,This House would fund education using a voucher scheme,train
96,This House calls for the increased use of referendums.,train
97,This House believes that the EU should offer asylum to women from countries which have legislation t,train
